Country,Archive/Institution,Website/Digital Portal,Digital Search Possible?,Shows Digitized Only or Also Non-Digitized?,Native API?,Aggregated API Notes,Notes/Specialized Focus,Naval Records Location / Notes
Spain,Archivo Histórico Nacional / General Military Archive,https://www.cultura.gob.es/archivos,Yes,Both,No,Europeana + Archives Portal Europe,Civil War overlap with WWII; neutrality records,Separate naval archives
Sweden,Swedish National Archives (Riksarkivet),https://riksarkivet.se,Yes,Both,No,Europeana + Archives Portal Europe,Neutrality and humanitarian records (e.g., White Buses),Separate naval collections
Sweden,Swedish Holocaust Museum Digital Platform,https://museumforintelsen.se (special projects),Yes,Primarily Digitized,No,Limited,Rescue missions and Holocaust-related collections,Integrated
Switzerland,Swiss Federal Archives,https://www.bar.admin.ch,Yes,Both,No,Europeana (limited),Neutrality, Red Cross, and refugee records,N/A (landlocked)
Taiwan,Academia Historica / National Archives Administration,https://www.drnh.gov.tw,Yes,Both,No,Limited,Republican China / WWII-era government documents,Republic of China Navy records
Ukraine,State Archives of Ukraine / War-related portals,https://www.archives.gov.ua,Yes,Both,No,Europeana + Archives Portal Europe,Strong WWII Eastern Front materials,Black Sea Fleet records
United Kingdom,The National Archives (TNA),https://discovery.nationalarchives.gov.uk,Yes,Both,Limited,Europeana,Main national repository,ADM series (Admiralty) at TNA
United Kingdom,Imperial War Museum (IWM) Collections,https://www.iwm.org.uk/collections,Yes,Both (catalog + digitized),No,Europeana,Specialized in British/Commonwealth war experiences, photos, films, personal stories,Naval records integrated with TNA
United States,NARA (National Archives and Records Administration),https://catalog.archives.gov,Yes,Both (catalog + digitized),Yes (Catalog API),N/A,Main national repository,RG 38 / RG 45 at NARA; NHHC for historical collections
United States,Fold3 (by Ancestry),https://www.fold3.com,Yes,Primarily Digitized (subscription),Limited,No,Specialized WWII military records, photos, unit histories (strong US/UK overlap),US Navy records well-represented
United States,US Army Heritage and Education Center (USAHEC),https://ahec.armywarcollege.edu,Yes,Both,Limited,No,Army-specific collections and oral histories,Army-focused (limited naval)
